1,2,3,4,,
,,8533900000,芯片(电阻零件),0:品牌类型:境外品牌(其他);2:用途[适用机型]:热敏电阻零件;3:品牌:Littelfuse;4:型号:RS4256-000;5:GTIN:不适用;6:CAS:不适用;,4|3|热敏电阻零件|Littelfuse|RS4256-000||
,,3921909090,芯片卷材(电阻零件),0:品牌类型:境外品牌(其他);2:成分:聚乙烯和碳黑高分子材料;3:外观:卷状;4:是否与其他材料合制:是;5:泡沫塑料请注明:非泡沫塑料;6:用途:用于生产热敏电阻;7:规格尺寸:宽4 inch;8:品牌:Littelfuse;9:型号:RS1649-000;10:GTIN:不适用;11:CAS:不适用;,4|3|聚乙烯和碳黑高分子材料|卷状|与其他材料合制|非泡沫塑料|用于生产热敏电阻|宽4 inch|Littelfuse|RS1649-000||
,,3921909090,芯片卷材(电阻零件),0:品牌类型:境外品牌(其他);2:成分:聚乙烯和碳黑高分子材料;3:外观:卷状;4:是否与其他材料合制:是;5:泡沫塑料请注明:非泡沫塑料;6:用途:用于生产热敏电阻;7:规格尺寸:宽4 inch;8:品牌:Littelfuse;9:型号:RS2240-000;10:GTIN:不适用;11:CAS:不适用;,4|3|聚乙烯和碳黑高分子材料|卷状|与其他材料合制|非泡沫塑料|用于生产热敏电阻|宽4 inch|Littelfuse|RS2240-000||
,,7408190090,铜线(镀锡),"0:品牌类型:境外品牌(其他);2:形状[丝]:线;3:材质[精炼铜、黄铜、青铜、白铜]:精炼铜;4:成分含量[铜及合金元素的含量]:铜:99.95%,合金元素:0.05%;5:规格[丝的最大截面尺寸]:0.511mm;6:牌号或型号:E40501-000;7:GTIN:不适用;8:CAS:不适用;","4|3|线|精炼铜|铜:99.95%,合金元素:0.05%|0.511mm|E40501-000||"
,,7408190090,铜线(镀锡),"0:品牌类型:境外品牌(其他);2:形状[丝]:线;3:材质[精炼铜、黄铜、青铜、白铜]:精炼铜;4:成分含量[铜及合金元素的含量]:铜:99.95%,合金元素:0.05%;5:规格[丝的最大截面尺寸]:0.813mm;6:牌号或型号:RR0822-000;7:GTIN:不适用;8:CAS:不适用;","4|3|线|精炼铜|铜:99.95%,合金元素:0.05%|0.813mm|RR0822-000||"
,,7106929000,银线,0:品牌类型:境外品牌(其他);2:形状(粉末):线;3:材质(纯银、银合金、镀金、镀铂):银合金;4:加工程度(未锻造、半制成):半制成;5:纯度:银(百分之90);6:GTIN:不适用;7:CAS:不适用;8:型号:RR1228-000;,4|3|线|银合金|半制成|银(百分之90)||
,,3907999910,液晶聚合物,"境外品牌(其他)；黑色颗粒；饱和；基体树脂63%,玻璃纤维和无机填充剂35%,炭黑1%,其它1%；对羟基苯甲酸:2-羟基6-萘甲酸=1:1；是；新料；无品牌；RR2117-000；20181016；否","4|3|黑色颗粒|饱和|基体树脂63%,玻璃纤维和无机填充剂35%,炭黑1%,其它1%|对羟基苯甲酸:2-羟基6-萘甲酸=1:1|是|新料|无品牌|RR2117-000|20181016||"
,,8533400000,热敏电阻芯片,0:品牌类型:境外品牌(其他);2:品牌:Littelfuse;3:型号:RS2803-000;4:GTIN:不适用;5:CAS:不适用;,4|3|Littelfuse|RS2803-000||
,,3907999910,聚酯树脂,2:白色颗粒;3:饱和;4:成分含量:芳香族聚酯60%，玻璃纤维40%;5:单体单元的种类和比例:联苯二酚:对羟基苯甲酸:联苯二甲酸=4:3:3);6:若为热塑性液晶需注明:是;7:新料;8:住友化学;9:E6008MR;10:20160614;11:不为再生料,"0|3|白色颗粒|饱和|芳香族聚酯60%,玻璃纤维40%|联苯二酚:对羟基苯甲酸:联苯二甲酸=4:3:3)|是|新料|住友化学|E6008MR|20160614||"
,,3907300090,环氧树脂,2:黄色粉末;3:双酚 A型环氧树脂37.5%，溴化环氧树脂15.1%，缩水甘油封端双酚 A 环氧氯丙烷共聚物13.1%，硅酸钙10.7%，水合氧化铁(III)7.6%，双酚A3.7%，二氧化钛2.4%，三氧化二锑1.1%，二氧化硅0.3%，溴含量7%;4:石油;5:PELNOX;6:PCE-61 YG;7:20190222;8:不为再生料,"0|3|黄色粉末|双酚 A型环氧树脂37.5%,溴化环氧树脂15.1%,缩水甘油封端双酚 A 环氧氯丙烷共聚物13.1%,硅酸钙10.7%,水合氧化铁(III)7.6%,双酚A3.7%,二氧化钛2.4%,三氧化二锑1.1%,二氧化硅0.3%,溴含量7%|石油|PELNOX|PCE-61 YG|20190222||"
,,3907300090,环氧树脂,"2:黄色粉末;3:缩水甘油封端双酚A环氧氯丙烷共聚物60%，二氧化硅15%，氢氧化铝15%，二氧化钛4%，水合氧化铁4%，1,3,5-三嗪-2,4,6(1H,3H,5H)-三酮与1,3,5-三嗪-2,4,6-三胺（1:1）的化合物1.5%，合成胺0.5%，无溴;4:新料;5:3M;6:RR1190-000;7:20190513;8:不为再生料","0|3|黄色粉末|缩水甘油封端双酚A环氧氯丙烷共聚物60%,二氧化硅15%,氢氧化铝15%,二氧化钛4%,水合氧化铁4%,1,3,5-三嗪-2,4,6(1H,3H,5H)-三酮与1,3,5-三嗪-2,4,6-三胺(1:1)的化合物1.5%,合成胺0.5%,无溴|新料|3M|RR1190-000|20190513||"
,,3907999910,液晶聚合物,"境外品牌(其他)；黑色颗粒；饱和；基体树脂63%,玻璃纤维和无机填充剂35%,炭黑1%,其它1%；对羟基苯甲酸:2-羟基6-萘甲酸=1:1;；是；新料；LAPEROS；RR2277-000；20181016；否；不适用；不适用;","4|3|黑色颗粒|饱和|基体树脂63%,玻璃纤维和无机填充剂35%,炭黑1%,其它1%|对羟基苯甲酸:2-羟基6-萘甲酸=1:1|是|新料|LAPEROS|RR2277-000|20181016||"
,,3921909090,热敏电阻芯片片材,0:品牌类型:境外品牌(其他);2:成分:聚乙烯和碳黑高分子材料;3:外观:片状;4:是否与其他材料合制:是;5:泡沫塑料请注明:非泡沫塑料;6:用途:用于制造热敏电阻;7:规格尺寸:305mm*406mm;8:品牌:Littelfuse;9:型号:RS1522-000;10:GTIN:不适用;11:CAS:不适用;,4|3|聚乙烯和碳黑高分子材料|片状|与其他材料合制|非泡沫塑料|用于制造热敏电阻|305mm*406mm|Littelfuse|RS1522-000||
,,3921909090,热敏电阻芯片片材,0:品牌类型:境外品牌(其他);2:成分:聚乙烯和碳黑高分子材料;3:外观:片状;4:是否与其他材料合制:是;5:泡沫塑料请注明:非泡沫塑料;6:用途:用于制造热敏电阻;7:规格尺寸:305mm*406mm;8:品牌:Littelfuse;9:型号:RS1647-000;10:GTIN:不适用;11:CAS:不适用;,4|3|聚乙烯和碳黑高分子材料|片状|与其他材料合制|非泡沫塑料|用于制造热敏电阻|305mm*406mm|Littelfuse|RS1647-000||
,,3810100000,助焊剂,0:品牌类型:境外品牌(其他);2:用途:帮助和促进焊接过程，同时对产品有保护作用、阻止氧化;3:成分:异丙醇和盐酸;4:品牌:SUPERIOR;5:型号:RR2020-000;6:GTIN:不适用;7:CAS:不适用;,"4|3|帮助和促进焊接过程,同时对产品有保护作用、阻止氧化|异丙醇和盐酸|SUPERIOR|RR2020-000||"
,,3810100000,焊胶,"0:品牌类型:境外品牌(其他);2:用途:端子和芯片焊接用;3:成分:锡80-90%，银2.6%，铜0.1-3%，松香1-10%，溶剂1-10%，2-甲基-2,4-戊二醇1-10%;4:品牌:SMIC;5:型号:F97618-000;6:GTIN:不适用;7:CAS:不适用;","4|3|端子和芯片焊接用|锡80-90%,银2.6%,铜0.1-3%,松香1-10%,溶剂1-10%,2-甲基-2,4-戊二醇1-10%|SMIC|F97618-000||"
,,8536909000,双金属片,0:品牌类型:境外品牌(其他);2:用途:通过温度的变化来打开和闭合产品，从而实现电路的断开或接通;3:电压:9V;4:品牌:Littelfuse;5:型号:RS3134-000;6:GTIN:不适用;7:CAS:不适用;,"4|3|通过温度的变化来打开和闭合产品,从而实现电路的断开或接通|9V|Littelfuse|RS3134-000||"
,,8536909000,双金属片,0:品牌类型:境外品牌(其他);2:用途:通过温度的变化来打开和闭合产品，从而实现电路的断开或接通;3:电压:9V;4:品牌:Littelfuse;5:型号:RS4168-000;6:GTIN:不适用;7:CAS:不适用;,"4|3|通过温度的变化来打开和闭合产品,从而实现电路的断开或接通|9V|Littelfuse|RS4168-000||"
,,8538900000,端子(电路保护器零件),0:品牌类型:无品牌;2:用途(适用机型):电路保护器上导电用端子;3:品牌:无;4:型号:RS4408-000;5:GTIN:不适用;6:CAS:不适用;,0|3|电路保护器上导电用端子|无品牌|RS4408-000||
,,8538900000,电路保护器壳体,0:品牌类型:无品牌;2:用途(适用机型):电路保护器用零件;3:品牌:无;4:型号:RS4188-000;5:GTIN:不适用;6:CAS:不适用;,0|3|电路保护器用零件|无品牌|RS4188-000||
,,3919909090,胶带,无品牌；生产粘贴用；条；是；是；PET+丙稀酸；无品牌；RR2105-000；GTIN:不适用；CAS:不适用;,0|3|生产粘贴用|条|成卷|单面自粘|无品牌||非半导体晶圆制造用|PET+丙稀酸|RR2105-000||
